text,emoji
He's a liar,🤥🙄🤦
He's acting mad sus about his phone,🤨📱❓
He's acting mad sus in chat,🤨💬❓
He's being condescending again,😒🙄🤓
He's breadcrumbing me,🍞💔
He's definitely capping about that,🧢🤥🙄
He's definitely hiding his phone,📱👀🤫🤔
He's definitely ignoring my texts,📱👀🙄🤫
He's down bad for her,😍😩
He's down bad fr,😍😩😭
He's down bad liking all her old pics,😍😩📸
He's exaggerating the story,🤥🙄🤦
He's gatekeeping the best coffee shop,🤫☕️😠
He's gatekeeping the best study spots,🤫📚
He's giving major calm energy,🧊🚶😌
He's giving major chill artist vibes,🧊🎨😌
He's giving major chill vibes,🧊🚶😌
He's giving major lone wolf vibes,🐺🚶🧊
He's giving major quiet confidence vibes,🧊🚶😌
He's giving major red flags,🚩🚩
He's giving major sigma vibes,🐺🚶🧊
He's giving major thoughtful vibes,🤔🚶😌
He's giving major zen master vibes,🧊🧘‍♂️😌
He's giving me the silent treatment,😒🙄😑
He's giving Ohio rizz,😬🌽
"He's giving Ohio rizz, but it's not working",😬🌽📉
He's got mad rizz,✨😎
He's got negative aura points,📉😬👎
He's ignoring my texts,📱👀🙄🤫
He's love bombing her,💖🚩
He's mansplaining my own job to me,🙄🗣️
He's my BSF,🤞💖✨
He's my BSF since kindergarten,🤞💖✨
"He's my pookie, best bf ever",🥰❤️🤞
"He's my pookie, makes me laugh",🥰😂🤞
He's negging her,🙄👎
He's projecting his insecurities,🗣️😬
He's projecting his own failures,🗣️😬📉
He's projecting so hard,🗣️😬🫣
He's rizz-less bless his heart,😬💔
He's shooting his shot,🏀😉
He's shooting his shot confidently,🏀😉😎
He's simping hard,😍🙏
He's simping over a celebrity,😍🙏⭐️
He's simping way too hard,😍🙏😩
He's such a clown,🤡😂🤦
He's such a clown sometimes,🤡😂🤦
He's such a drama queen,👑🙄🎭
He's such a know-it-all,🤓🙄😒
He's such a simp for her lol,😂🤦❤️‍🩹
He's such a simp lol,😂🤦❤️‍🩹
He's such a snack fr,😍😋🔥
He's the CEO of awkward jokes,🧑‍💼📉😬
He's the CEO of awkward silences,🧑‍💼📉😬
He's the CEO of bad takes,🧑‍💼📉🗣️
He's the CEO of forgetting names,🧑‍💼📉🤦
He's the CEO of ghosting people,🧑‍💼📉👻
He's the CEO of leaving people on read,🧑‍💼📉📱
He's the CEO of missing the point,🧑‍💼📉🤷
He's the CEO of procrastination,🧑‍💼📉⏳
He's the GOAT fr,🐐👑💯
He's tone deaf,🙅🤦
He's tone deaf about the situation,🙅🤦
He's tone deaf af,🎶🙅
He's totally lying about that,🤥🧢🙄
He's totally lying about that story,🤥🧢🙄
He's virtue signaling again,✨😇🙄
He's virtue signaling hard,✨😇
He's weaponizing therapy-speak,🗣️⚔️
Head over heels,😍🙃❤️😘
"Headed off to bed, good night",🛌😴🌙✨
Healthy lifestyle,🥗🏃💪
Heard any good rumors lately,☕️👂🤫
Heard it through the grapevine,🍇👂🗣️🤫
Heard some juicy office gossip by the water cooler.,🤫☕️👂😮
Heartbreak hurts,💔😢😭😔
"Heat wave, it's so hot",🔥🥵☀️💧
Her dancing was awkward,😬💃🫣
Hidden gem,💎💯
Highkey obsessed with this song,🎶🎧💖
Hiking along the coast today!,🌊🚶☀️
Hiking in the mountains today!,⛰️🌲☀️
"Hiking in the mountains, the view is breathtaking.",⛰️🚶🌲🏞️😍
Hiking Table Mountain,⛰️🚶🚠🇿🇦
Hiking the Grand Canyon,🏜️🚶🦅🌅🇺🇸
Hiking through the Amazon rainforest,🌳🦜🐒🐍🇧🇷
Hiking to a waterfall tomorrow!,🌲🚶🌊
Hiking trip,⛰️🌲🚶
His aura is just off today,😬📉
His excuse sounds very fake,🧢🤥🤔
His joke made me snort laugh,💀😭🤣
His rizz is actually kinda cute ngl,✨😊💯
His rizz is awkward but kinda endearing,✨😅💯
"His rizz is improving, slowly but surely",✨📈💯
his rizz is insane no cap,😳🔥🔥
"His rizz is legendary, teach me sensei",✨😎🙏
"His rizz is non-existent, poor guy",😬📉🤦
His rizz needs serious work,😬📉🤦
His singing was painful,😬🎤🙉
Hit the gym for a killer leg day workout.,🏋️🦵💪🔥🥵
Hmm interesting point to consider,🤔🧐💡
Hmm what does that mean,🤔❓👀
Hmm what does this button do,🤔❓👀
Hold on let me check that,✋🤔💻
Hold on let me double check that,✋🤔💻
Hold on need to process info,🤔🤚🧠⏳
Hold on what just happened,✋🤔❓
Hold please need to process this,🤔🤚⏳🧠
Hold up let me think really fast,🤔🤚💡
"Hold up, wait",✋😐🤚
Holding space,🙏💖
Hollywood dreams in California,🎬⭐️🌴😎🇺🇸
Hooray we did it together,🥳🙌🎉🫂
Hooray we did it together team,🥳🙌🎉🫂
"Hooray we did it, team",🥳🙌🎉🫂
How was your day today?,🤔🗓️😊
How was your day?,🤔🗓️😊
Hump day,🐪🐫🗓️
Hungry now,😋🍔🍕
Hurry up,🏃💨⏰
"Hustle hard, stay humble, be kind.",💪🙏💖😊💯
Hygge is a way of life,🕯️🧦☕️
I agree,👍💯
I am craving some boba tea,🧋⚫️😋🇹🇼
I am outta here now,🤸🕳️
I appreciate you,🙏💖😊💯
I believe in you,🙏💖💪💯
I can't believe he graduated from college!,🎓🎉🥳
I can't believe I ate that entire pizza by myself.,🍕😋🥴😴
"I can't believe it's already December, where did the year go?",🤨😳
"I can't believe it's already December, where did the year go?",😱🗓️
I can't believe you knew,😳🤯🤫
I can't find my keys,🔑❓🚪😩😠
I can't wait,🤩🙌🎉⏳
I can't wait to see what happens in the next chapter.,📖🤔
I cant believe you said it,😳🤯🤬
I could eat tacos every day of the week.,🌮❤️
I disagree,❌👎🙅
I don't know,🤷❓🤔
I dont know the answer sorry pal,🤷❓😅
I feel kinda lonely today,😔🌧️🫂
I feel so energized after my morning smoothie.,🍓🍌💪⚡️
I guess we have no other choice,🙄🤝🤷
I guess we must agree then,🙄🤝😑
I had a great time,😊👍🎉💖
I had a prophetic dream,🔮😴
I have a dentist appointment,🦷🧑‍⚕️😬🚫🍬
I have a great idea,💡✨🤯✍️
I have a job interview,💼🤝😬🤞
I have a secret,🤫🤐👂🤔😉
I have a terrible headache,🤕🤯😩💊😴
I have gossip to share.,☕🤏
I have mixed drinks about feelings.,🍹🍸🥃🤔😂
I have no beef with anyone.,🚫🥩🤝😊☮️
I have no idea ask Google,🤷❓💻
"I have no idea, ask someone",🤷❓➡️
"I have no thoughts, head empty",💭🚫
I have stage fright,🎤😱😳😬🥵
I have to do my taxes,🧾💸😩🤯✍️
I just adopted a new puppy from the shelter!,🐶❤️🐾🏠🥳
"I just finished a 1000-piece puzzle, so satisfying.",🧩✅😌
I just got a new high score on my favorite video game!,🎮🏆🎉🥳🤩
I just got back from a refreshing yoga class.,🧘✨😌💪
I like your style,😎👕👖👟
I love a good thunderstorm,⛈️⚡️🌧️🏠😌
I love getting lost in a good fantasy novel.,📖🐉
I love going to the farmers' market on Saturdays.,🧑‍🌾🍎🥕
I love learning about ancient history.,📜🏛️🤔📖
I love my new wireless headphones,🎧🎶😌✨
I love playing games,🎲🎮🃏♟️
I love reading mythology,⚡️🔱🦄🐉📖
I love the quiet atmosphere of an art gallery.,🤫🖼️
I love the smell of a new book.,📖😌❤️📚
I love the smell of garlic and onions cooking.,😋🧅
I love the sound of a live orchestra.,🎻🎶
I love the sound of rain on the roof.,🌧️💧🏠😌😴
I love the taste of fresh-squeezed orange juice.,🍊☀️
I love the thrill of a good horror movie.,👻😱
I love watching documentaries about space.,🚀🪐🔭
I love you,❤️😘🥰
I love you and am so proud of you,👏🌟💖
I love you to the moon and back.,❤️🌕🔙✨
I messed up really big time,🤡💥🤦
I miss my best friend,❤️🧑‍🤝‍🧑😔💭📱
I miss the autumn leaves already.,🍂🍁😢
I miss those long summer nights.,☀️🌙😢
I miss you,😢💭❤️
I need a break from social media.,📵🌳🧘
I need a digital detox.,📵🧘🌳
I need a drink,😩🍺🍷🍹
I need a hug,🤗❤️😔🫂
I need a vacation,✈️🌴☀️🍹😌
I need a vacation from my phone.,📵🏖️🧘
I need a weekend with zero plans.,📵😴🧘
I need some space,✋🚶🤔💭
I need to do laundry,🧺👕👖🧼💨
I need to mow the lawn,🌱☀️🚜💪🥵
I need vitamin sea in my life right now.,🌊☀️🌴👙😎
I panicked,😳🏃💨
I put the 'pro' in procrastinate.,🏆⏳😴🤷😂
I rest my case your honor,🫳🎤🧑‍⚖️
I saw red for a second,😡🤬😤🔥
"I scream, you scream, we all scream for ice cream!",🍦🍨😋☀️🥳
I see what you mean,👀🤔💡✅
I spent the entire weekend binge-watching a new sci-fi series.,📺🍿👽🚀😴
I think I'm going to be sick soon,🤢🤮🚽
I think I'm having deja vu,🤔🔁
I think my car is broken,🚗🔧😠💸😩
I totally agree with that,💯✅👍
I totally crushed that exam,💅💯✅
I volunteer as tribute,🙋‍♀️🏹
I was today years old when I learned,🤯🗓️
I will survive,💪🔥🙏
I'm a big fan of the sci-fi genre,👽🚀🛸✨📖
I'm a bit of a homebody,🏠❤️🛋️😌
I'm a bit of a night owl,🦉🌙💻✨😴
I'm a bit of a perfectionist,💯✅✨🧐😩
I'm a bit of a procrastinator,😩⏰💻😴
I'm a bit of a skeptic,🤔🤨❓🤷💡
I'm a cynic,😒🤷
I'm a huge history buff,📜🏛️👑⚔️
I'm a little bit lost,❓🤷😩
I'm a lucid dreamer,😴💭
"I'm a millennial, I'm tired",🥑☕️
I'm a really light sleeper,😴😳👂😩
I'm a sucker for a good rom-com.,❤️🥰
I'm a total chocoholic,🍫❤️😋🤤💯
I'm a Virgo,♈️✨
I'm absolutely dead,💀💀
I'm afraid of spiders,🕷️😱😩😨🏃
I'm attempting to bake a multi-layered rainbow cake for the party.,🌈🎂🧑‍🍳🎉🥳
I'm begging you please help me,🥺🙏🆘😭
I'm bored,😑🥱📺
I'm bursting with happiness,💥😊🥳💖✨
I'm coming,🏃💨➡️
"I'm craving a big, juicy burger.",🍔😋
I'm dead,💀😂
I'm fascinated by dreams,😴💭🧠
I'm fascinated by the deep sea and its creatures.,🌊🐙🐠
I'm feeling creative,🎨🖌️💡✨
I'm feeling extra today,✨👑💁‍♀️
I'm feeling on top of the world,🌍🔝😊💪✨
I'm feeling really down low,😔🌧️😭
I'm feeling really inspired,💡✨🎨🎶✍️
I'm feeling really quite blue,😔🌧️😭
I'm feeling so motivated after that inspiring speech.,🔥💪✨🚀💯
I'm feeling so unmotivated,😩🛋️😴
I'm going to an art class this weekend.,🧑‍🎨🙌
I'm going to my family reunion this summer.,👪‍👦☀️
I'm head over heels in love with you.,😍🥰😘❤️💘
I'm heading out see you all,😃👉🚪👋
I'm home,🏡🛋️😌
I'm in love,😍🥰❤️😘
I'm in my flop era,📉😩
I'm in my healing era right now.,🧘💖✨🌿😌
I'm just a girl (who crashed her car),🎀🚗💥
I'm kinda nervous to ask,👉👈❓😟
I'm kinda nervous to speak,👉👈❓🗣️
I'm learning about architecture,🏛️🏗️🏢✍️💡
I'm learning about astronomy,🪐✨🔭🌌🛰️
I'm learning about botany,🌱🌿🌸🔬📖
I'm learning about cryptography,🔐💻🧠💡🕵
I'm learning about different cultures,🌍🤝
I'm learning about DNA replication.,🧬🔬🤔
I'm learning about geology,🌍💎🌋🔬🤔
I'm learning about investing,📈💰💸🤔🧠
I'm learning about marine biology,🌊🐠🐬🐋🔬
I'm learning about philosophy,🤔🧠📖🏛️💡
I'm learning about robotics,🤖🔧💡💻
I'm learning how to sew,🧵🪡💡
I'm learning to code a website,💻💡⌨️🌐
I'm learning to play guitar,🎸🎶🎵
I'm learning to play the piano,🎹🎵🎼
I'm learning to skateboard,🛹🤕💪😅😎
I'm leaving this awkward chat,🚪🚶💬👋
I'm listening,👂🏻💬😊🙏
I'm lost,🧭❓
I'm making a big pot of chili for dinner.,🌶️🍲
I'm no detective but,🤔🕵
I'm not a fan of horror movies,👻😱🔪🚫🫣
I'm not a morning person,😴😩☕️😠
"I'm not a morning person, don't talk to me before coffee.",😴😠☕️➡️😄
I'm not a very patient person,😩⏳😠⏰🔥
I'm not good with technology,💻📱😩🤯🤷
"I'm not lazy, I'm on energy-saving mode.",🔋📉😴🛋️🤫
I'm not very good at cooking,🍳🔥😩🥡🍕
"I'm not weird, I'm a limited edition.",🤪🦄✨💎😜
I'm obsessed with this new indie film.,🎥❤️
"I'm on a roll, feeling unstoppable today.",🚀💪🔥💯✅
I'm on my way home,🚗💨🏡😌
I'm out peace see y'all later,🚪🚶✌️👋
I'm re-watching my favorite TV show for the tenth time.,📺❤️
I'm reading about quantum physics.,⚛️📖🤯
I'm ready,🤠👍
I'm really bad at keeping secrets,🤫🗣️🤷😂
I'm really clumsy,🤕🤷🤦💥😂
I'm redecorating my room,🎨🖌️🛋️🖼️✨
I'm renovating my entire kitchen from scratch.,🏠🔨🔧🎨✨
I'm running late,🏃💨⏰😩
I'm shocked,👁️👄👁️
I'm shocked and quite appalled,😳😠😤
I'm sick need rest,🤒😴😔
I'm so annoyed by the traffic,😒🚗😤
I'm so annoyed by this delay,😒⏳😤
I'm so excited for my first day at my new job.,🎉💼
I'm so excited for my friend's baby shower.,👶🍼🎁
I'm so excited for our annual holiday party.,🎄🎉🥳
I'm so excited for the long weekend.,🥳🎉😎☀️
I'm so excited for the new season of my favorite show.,📺🍿🤩
I'm so excited for the new season of that podcast.,🎧🤩
I'm so excited for the upcoming solar eclipse.,☀️🌑😎
I'm so excited to see my favorite band live in concert.,🎤🎶🤩🥳💃
I'm so excited!,🎉🤩🙌🥳
"I'm so full from Thanksgiving dinner, I can't move.",🦃🍽️🥴😴
I'm so hungry,😩😋🍔
"I'm so lost in this new city, my GPS is broken.",🗺️🤔😟📵
I'm so lucky,🍀🙏😊
I'm so nervous about my job interview tomorrow.,😬👔💼😟🤞
I'm so sleepy,😴🥱😪💤
I'm so sore from my workout yesterday.,💪😫🤕
I'm so sore from the gym,💪😩🔥🏋️🚶
I'm sold,✅💰👍💯
I'm sorry,😔🙏💔
I'm starting a new hobby,🎨🎸🌱🤔✨
I'm such a typical Scorpio,♏️🦂
I'm taking a dance class for the first time.,💃🎶
I'm taking an online course to learn about cybersecurity.,💻🔒🛡️🎓
I'm terrible at directions,🗺️🧭🤷🔄😩
"I'm training for a marathon, it's exhausting but rewarding.",🏃🏅💪🥵✨
I'm trying a new hairstyle,💇‍♀️✨😎👍🤔
I'm trying to be a better listener,👂💬🤝😊
I'm trying to be less judgmental,🤝🧠😌🙏
I'm trying to be more assertive,🗣️💪🔥💯✋
I'm trying to be more eco-friendly,🌍♻️🌱💚🙏
I'm trying to be more optimistic,😊☀️💖✨🙏
I'm trying to be more patient,⏳😌🙏🧘
I'm trying to be more present,🧘😌✨🙏
I'm trying to be more spontaneous,✨🎉💥🤷🚀
I'm trying to build a custom PC for gaming and video editing.,💻🎮🎞️🛠️🔥
I'm trying to build a ship in a bottle.,🚢🍾🤔🛠️
I'm trying to cut back on sugar.,🍩❌🙅
I'm trying to drink more water,💧💧💧💧
I'm trying to eat more plant-based meals.,🌱🥗🍎💪
I'm trying to get organized,✅📝🗓️🧹✨
I'm trying to grow my own vegetables.,🌱🥕🍅
I'm trying to improve my posture,🚶💪🧘👑😌
"I'm trying to learn a new language, it's so difficult.",📖🗣️🤔🤯
I'm trying to learn how to do magic tricks.,🎩✨
I'm trying to learn how to play chess.,♟️🤔🧠🤯
I'm trying to learn how to sing.,🎤🎶
I'm trying to learn to juggle,🤹🤔🤯😂✋
I'm trying to live more minimally,🏠🌱😌✨
I'm trying to manage my stress,😌🧘🚶✍️
I'm trying to master the art of making the perfect espresso shot.,☕️⚗️👌
I'm trying to meditate for 10 minutes every day.,🧘😌⏳
I'm trying to practice gratitude,🙏❤️😌✍️✨
I'm trying to quit a bad habit,🚫💪⏳🙏
I'm trying to reduce my carbon footprint.,👣♻️
I'm trying to save money,💸🚫💳🐖💰
I'm trying to set boundaries,✋🚫😌💪
I'm trying to teach my parrot how to say new phrases.,🦜🗣️
I'm trying to write a screenplay.,🎬✍️🤔
I'm trying to write a song.,🎶✍️
I'm volunteering at the local animal shelter this weekend.,🐶🐱❤️🤗🥰
I'm waiting,⏳🙄😤
"I'm walking on sunshine, and don't it feel good!",☀️🚶😎💖😊
I'm writing a novel,✍️📖💡💻☕️
I've been on hold for customer service for an hour.,📞⏳😠😤
I've got a bad case of wanderlust.,✈️🌍🗺️🎒👣
I've got my secrets,🌚😈🔑
Ice sculpting,🧊❄️✨
IDK what to do,🤔🤷
"If you know, you know (IYKYK)",😉🤫
"If you want to fly, give up everything that weighs you down.",🕊️🚫⛓️➡️✈️
Ignoring all the red flags,🕳️🧑‍🦯🚩
Ignoring all the warning signs,🕳️🧑‍🦯⚠️
Ignoring the drama la la la,🕳️🧑‍🦯🎶🙉
Ikebana flower arranging,🌸🌿✂️
Im kinda nervous to speak up,👉👈❓🗣️
Im utterly speechless right now,😳😶🤯
imma head out,😃👉🚪
In a black mood,⚫️😠😔
In a committed relationship with my bed.,😴❤️🛌💤🤫
In a meeting,🧑‍💻🗣️📊
In my element,😎🔥💯💪
In the car,🚗💨🎶
"Inhale confidence, exhale doubt.",💨💪😤💨
Internet is down again,😭📶❌
Inventing a new game,🎲🤔✍️💡
Is it giving red flags,🤔🚩
Island hopping in Greece,🇬🇷🏝️⛵️☀️🌊
Island life in Thailand,🏝️🌊☀️🍹🇹🇭
It was nice meeting you,👋😊🤝💖
It's a boy,👶💙🍼
It's a canon event,💥📜
It's a date,🗓️❤️😘🥂
It's a girl,👶💖🍼
"It's a look, it's a vibe, it's a moment.",💅✨😎💯🔥
It's a new day,🌅✨🆕😊
It's a pizza and beer kind of night.,🍕🍺📺🛋️😋
It's a secret,🤫🤐👀
It's all under control,😅👍👌💯
It's cold,🥶❄️🧣
It's complicated,🤔💔❤️🤷
It's finally snowing! Let's build a snowman.,❄️☃️🧤
It's finally sweater weather!,🍂🍁🧣
It's fine really it's all fine,😅👍👌💯
It's giving main character energy,✨💁‍♀️🎬
It's giving major vibes,✨😎💯
It's giving... major weekend vibes.,➡️➡️😎🎉🥳
It's hot,🥵☀️🔥
It's low key cursed,😬👻
It's my birthday!,🎂🥳🎈🎉
It's my dog's birthday today!,🐶🎂🎉
"It's not what we have, but who we have.",🚫💎➡️👪‍👦❤️
It's okay,👍👌😊
It's over,💔👋😢🚶
It's raining,🌧️☔️💧
"It's raining again, oh well",🌧️☔️😒
It's snowing,❄️☃️🌨️
It's so important to stay hydrated.,💧👍💪
It's so nice to catch up with old friends.,🧑‍🤝‍🧑🗣️
It's sunny,☀️😎😊
It's the aesthetic for me,🎨💖
It's the most wonderful time of the year.,🎄✨💖😊💯
It's windy,💨🍃🌬️
It's wine o'clock somewhere in the world.,🍷⏰🌍😋😌
IYKYK,😉🤫✨
Jazz music,🎷🎶🎺
Jigsaw puzzle marathon,🧩🧐💪🖼️✅
JK... unless?,😉😏
Just a girl math thing,💁‍♀️💸
Just a pinch of chaos,🤏🔥💥🤪🤷
"Just aced my final exam, feeling so relieved and smart!",💯📚🧠✅🎉
Just aced my presentation,✨💅💯
"Just aced that test, feeling smart af",🧠✅🥳
Just adopted a puppy,🐶❤️🐾🏠🥰
Just adopted a rescue dog,🐶❤️🏡
Just ate too much candy,🤪🤢🍬
Just ate too much chocolate,🤪🤢🍫
Just ate way too much cake,🤪🤢🎂
Just awkwardly standing nearby,🧍🧍‍♀️😬
Just baked some delicious cookies,🍪😋🧑‍🍳
Just being honest,🤷🗣️
"Just being honest tbh, I expected more",🤷🗣️
Just booked our tickets for the concert!,🎶🎟️🤩
Just bought my first piece of real art!,🖼️🎉🤩
Just call me chef,🧑‍🍳🔥
Just chilling at home,🛋️📺😌🎧
Just chilling hbu?,😌🛋️❓
Just completed a really tough hike!,⛰️💪💯
Just completed a sudoku puzzle on expert level!,🔢✅🥳
Just copped the concert tickets,😎🎟️✨
Just copped the sneakers I wanted,😎👟✨
Just copped the vinyl I wanted,😎🎶✨
Just failed that test spectacularly,💀🫠😭
"Just filed my taxes, what a relief.",🧾✅😌🙌
"Just finished a 10k race, I'm so tired.",🏃🏁😫😴
Just finished a big batch of chili for the week.,✅🌶️🍲
Just finished a challenging project,💻🥵✅
Just finished a great workout! Feeling strong.,💪🏋️💯
Just finished a killer spin class!,🚴‍♀️🥵💯
Just finished a long hard run,🏃🥵✅
Just finished a marathon,🏃🏁🏅💪🥵
Just finished a marathon training run!,🏃🥵✅
"Just finished a marathon, I'm exhausted",🏃🏁🏆💪😴
Just finished a really great book,📚✅💖
Just finished a tough hike,⛰️🥵✅
Just finished an epic fantasy trilogy!,📚⚔️✨
Just finished an intense race,🏃🏁🥵🏅
Just finished my race,🏃🏁🏆💪
"Just finished the game, kinda mid ending",🤷🎮😑
"Just finished the podcast, kinda mid",🤷🎧😑
Just finished the series kinda mid,🤷📺😑
Just found my old Myspace page,🤦💀
Just found out my fav show got cancelled,😭💔
Just got a promotion and a raise!,💼🎉💰🙌
Just got amazing news!,🤩🎉🥳
Just got back from the gym feeling exhausted,💪🥵
Just got my nails done,💅✨💖
Just hit a new personal record on my run!,🏃💨💯
Just landed a major freelance gig!,🎉💻💯
Just married,👰🤵💒
Just me third wheeling again,🧍🧍‍♀️🧍‍♂️😬
Just passed my final exam!,🎉🥳💯
Just posted a new photo,📸🤳⬆️❤️👍
Just saw a deer in the backyard!,🦌😍🌳
Just saw a hummingbird in the garden!,🐦😍🌸
Just saw the cutest dog video,🥺💖
Just saw the cutest puppy!,🐶😍😭
Just signed the lease for our new place!,🔑🏡🥳
Just smashed my personal best,💪🔥💯
Just spent my entire paycheck on snacks,💸😭
Just spilled my entire drink,😭🤦
Just standing here awkwardly,🧍😬😅
Just standing here waiting,🧍😬⏳
"Just started the book, kinda mid so far",🤷📚😑
Just vibing,🎶😌
Just waiting for the bus,🧍🚌⏳
Just waiting for the train now,🧍🚇⏳
"Just watched the finale, kinda mid",🤷📺😑
"Just winging it. Life, eyeliner, everything.",🤷👁️✍️✨💯
K-Pop is my everything,🎤💖🇰🇷
Karaoke night with friends,🎤🎶💃🕺🥳
Keep calm and carry on.,😎😌💪💯
Keep going,🏃➡️🏁
Keep this between us forever ok,🤫🤞🤝
Keep your friends close and your snacks closer.,🍿🥨🍫👫❤️
Keep your head up,😊💪💖✨
Keepin it on the DL,🤫🤐🔒
Keepin' it 100,💯✅
Keepin' it on the DL,🤫🤐🔒
"Keepin' it on the DL, promise",🤫🤐🔒
Kids are asleep. Finally some quiet time.,😴😌🎧
Kids are finally down for their nap. Peace!,😴😌☕️🙏
Kids are finally in bed. Time for wine.,😴😌🍷
Kimchi is spicy and delicious,🥬🌶️😋🍚
"Kindness is free, sprinkle that stuff everywhere.",💖✨🤗🌍💯
Knitting a cozy winter sweater,🧶🧤🧣❄️❤️
Know-it-all,🤓🙄😒
Landed the dream client project!,🎉💼💯
Late night thoughts,🌙🤔💭✨
Late night writing session ahead.,📝☕️😵‍💫
Laughing at your epic fail haha,🤣🫵🤡💯
Lazy Saturday morning vibes.,😴🛋️☕️
Lazy Sunday,😴🛋️📺🍕
Lazy Sunday vibes.,😴🛋️🍕
Learning a new language,🗣️📖🌍🧠💡
Learning about psychology,🧠💡🤔📖
Learning data analysis is making my brain hurt.,💻📊🤯
Learning French grammar is melting my brain.,📚🤯
Learning guitar chords is harder than it looks.,🎸🤯😅
Learning how to do calligraphy,✍️✒️📜❤️
Learning to play the guitar is harder than it looks.,🎸🎶🤔😖💪
Learning to speak Spanish,🗣️🇪🇸
Learning to unicycle is hard,🚲🤸🤕💪😂
Leave me alone please go away,😒🙏🚪
Leaving now,👋🚗💨
"Let her cook, she's a genius",🔥🧑‍🍳⏳
Let him cook,🧑‍🍳🔥
"Let him cook, they've got this",🔥🧑‍🍳⏳
"Let him cook, trust the process",🔥🧑‍🍳⏳
Let him cook! He's in his element.,🧑‍🍳🔥💯💪😎
Let me check,👀🔍💻
Let me ponder this new idea,🤔💡🧠
Let the fireworks begin! Happy 4th of July!,🎆🇺🇸🎇🗽🦅
Let them cook,🔥🧑‍🍳
Let your faith be bigger than your fear.,🙏💪❤️🚫😱
Let your light shine,✨💡💖😊
Let's agree to disagree,🤝🤷
Let's be friends,👋😊🤝
Let's build a model rocket,🚀🔧💥💨
Let's build a pillow fort,🏰🧸🛋️👑😴
Let's build a sandcastle,🏖️🏰🐚💧☀️
Let's build a snowman,☃️❄️🥕🧣🧤
Let's build a treehouse,🌳🔨🏠💪✨
Let's catch up soon,🗣️🗓️😊
Let's celebrate,🎉🥳🍾🥂
Let's chat,🗣️💬😊
Let's cook,🧑‍🍳🍳🌶️
Let's create a family tree,🌳👪‍👦❤️📜✍️
Let's cross that bridge later,🌉🚶➡️⏳
Let's dance,💃🕺🎶
Let's dance the night away under the stars.,💃🕺💫🎶🌃
Let's do a digital detox,📵🌳📖😌🧘
Let's do it again,🔄👍🎉😄
Let's do this,💪🔥🚀
Let's do this,💪🚀
Let's drink wine today,🍇🍷☀️
Let's eat,🍽️😋🍕
Let's get pizza,🍕😋🙌
Let's get started,💪🚀🏁
Let's get this bread,🍞💰
"Let's get this bread, time to hustle.",🍞🏃💼💪💯
Let's go,➡️🙌🚀
Let's go biking this afternoon?,🚲☀️🤝
Let's go bird watching,🐦🌳👀✍️
Let's go bowling,🎳👟💥🎉
Let's go camping,🏕️🔥🌲⭐
Let's go dancing,💃🕺🎶🎉
Let's go for a swim,🏊‍♀️☀️🌊💧😎
Let's go for a walk,🚶🌳☀️👟
Let's go for a walk later?,🚶🌳🤝
Let's go grocery shopping,🛒🍎🍞🥛
Let's go ice skating,⛸️❄️🧣
Let's go kayaking,🛶☀️💪🏞️
Let's go on a brewery tour,🍺🍻🥨🏭😋
Let's go on a date,🍽️🍷❤️😘
Let's go on a nature hike,🌲🏞️🚶☀️
Let's go on a road trip,🚗🗺️🎶🏞️
Let's go on an adventure and get lost.,🗺️🧭🏞️🚗
Let's go rock climbing,🧗⛰️💪💯
Let's go shopping,🛍️💸💳
Let's go stargazing,🌌🔭✨🌠💖
Let's go swimming,🏊‍♀️☀️
Let's go thrift shopping,🛍️👕👖♻️💸
Let's go to a comedy show,😂🎤🤣👏👍
Let's go to a drive-in movie,🚗🎬🍿🌠❤️
Let's go to a flea market,🛍️💎💸🤔
Let's go to a food festival,🍔🌮🍦🎉😋
Let's go to a jazz club,🎷🎶🍷🌃😌
Let's go to a planetarium,🌌🪐🔭🌠✨
Let's go to a poetry slam,🎤✍️👏❤️🔥
Let's go to a Renaissance faire,🏰⚔️👑🍗🎭
Let's go to a symphony orchestra,🎻🎺🎼👏😌
Let's go to an arcade,🕹️🎮👾🎉
Let's go to an art museum,🖼️🎨🏛️😌
Let's go to an escape room,🔑🔐💡🤔⏳
Let's go to the beach and soak up some sun.,🏖️☀️🌊👙😎
Let's go to the park after this?,🌳☀️🤝
Let's go to the zoo,🦁🐯🐻🐘🦒
Let's go whale watching,🐋🌊🛥️👀📸
Let's grab brunch this weekend!,🍳🥞🥂
Let's grab pizza after school,🍕🏫🤝
Let's grow old together,👵👴❤️♾️
Let's hang out IRL,👋🤝
Let's hang out this weekend?,📅🤔🤝
Let's have a BBQ,🍔🌭🔥☀️
Let's have a beach bonfire,🔥🍫🏖️🎶
Let's have a debate,🗣️🤔⚖️🤝🧠
Let's have a dinner party,🍽️🥳🍝🍷
Let's have a field day,🏃🏅🎉☀️🎈
Let's have a mock trial,⚖️🧑‍⚖️🗣️📜🤔
Let's have a potluck dinner,🍽️🧑‍🤝‍🧑🥗🥘🍰
Let's have a silent disco,🎧🎶💃🕺🤫
Let's have a white elephant gift exchange,🎁🔄😂🤔🎉
Let's hit the mall after school?,🛍️🏫🤝
Let's keep in touch,💬📱📞👍
Let's learn a magic trick,🎩✨🃏🐰🤯
